Date_Time,Value
3/03/1951,99.9648
4/03/1951,76.6368
5/03/1951,74.304
6/03/1951,78.624
7/03/1951,74.3904
8/03/1951,58.32
9/03/1951,54.1728
10/03/1951,50.8032
11/03/1951,47.4336
12/03/1951,44.064
13/03/1951,40.7808
14/03/1951,37.4112
15/03/1951,34.0416
16/03/1951,31.7088
17/03/1951,31.6224
18/03/1951,31.6224
19/03/1951,31.6224
20/03/1951,31.6224
21/03/1951,31.6224
22/03/1951,31.6224
23/03/1951,31.6224
24/03/1951,30.7584
25/03/1951,28.8576
26/03/1951,27.0432
27/03/1951,25.1424
28/03/1951,23.2416
29/03/1951,21.3408
30/03/1951,19.44
31/03/1951,17.5392
1/04/1951,15.6384
2/04/1951,14.3424
3/04/1951,13.7376
4/04/1951,13.1328
5/04/1951,12.528
6/04/1951,12.0096
7/04/1951,11.4048
8/04/1951,10.8
9/04/1951,10.2816
10/04/1951,9.8496
11/04/1951,9.3312
12/04/1951,8.8992
13/04/1951,8.4672
14/04/1951,8.0352
15/04/1951,7.6032
16/04/1951,7.344
17/04/1951,7.344
18/04/1951,7.344
19/04/1951,7.344
20/04/1951,7.344
21/04/1951,7.344
22/04/1951,7.344
23/04/1951,7.2576
24/04/1951,7.0848
25/04/1951,6.912
26/04/1951,6.7392
27/04/1951,6.5664
28/04/1951,6.3072
29/04/1951,6.1344
30/04/1951,6.1344
1/05/1951,6.2208
2/05/1951,6.3072
3/05/1951,6.48
4/05/1951,6.5664
5/05/1951,6.6528
6/05/1951,6.8256
7/05/1951,6.912
8/05/1951,7.0848
9/05/1951,7.1712
10/05/1951,7.2576
11/05/1951,6.7392
12/05/1951,6.048
13/05/1951,6.048
14/05/1951,6.048
15/05/1951,6.048
16/05/1951,6.048
17/05/1951,6.048
18/05/1951,6.048
19/05/1951,6.048
20/05/1951,6.048
21/05/1951,6.048
22/05/1951,6.1344
23/05/1951,6.3072
24/05/1951,6.5664
25/05/1951,6.8256
26/05/1951,6.9984
27/05/1951,7.2576
28/05/1951,7.1712
29/05/1951,6.8256
30/05/1951,6.3936
31/05/1951,6.048
1/06/1951,5.7024
2/06/1951,5.3568
3/06/1951,4.9248
4/06/1951,4.752
5/06/1951,4.752
6/06/1951,4.752
7/06/1951,5.7888
8/06/1951,8.3808
9/06/1951,3659.9904
10/06/1951,2422.4832
11/06/1951,582.8544
12/06/1951,339.2064
13/06/1951,331.4304
14/06/1951,326.6784
15/06/1951,290.9952
16/06/1951,2940.192
17/06/1951,7240.4064
18/06/1951,1321.488
19/06/1951,561.0816
20/06/1951,351.4752
21/06/1951,1654.7328
22/06/1951,14462.3232
23/06/1951,2683.9296
24/06/1951,849.312
25/06/1951,550.1952
26/06/1951,515.6352
27/06/1951,7386.6816
28/06/1951,1699.488
29/06/1951,1084.6656
30/06/1951,1676.4192
1/07/1951,1159.5744
2/07/1951,1691.8848
3/07/1951,757.5552
4/07/1951,444.96
5/07/1951,349.488
6/07/1951,302.1408
7/07/1951,258.9408
8/07/1951,244.08
9/07/1951,234.4896
10/07/1951,366.2496
11/07/1951,328.752
12/07/1951,205.0272
13/07/1951,172.368
14/07/1951,140.2272
15/07/1951,110.6784
16/07/1951,189.216
17/07/1951,326.8512
18/07/1951,179.0208
19/07/1951,148.608
20/07/1951,133.2288
21/07/1951,119.3184
22/07/1951,105.4944
23/07/1951,96.0768
24/07/1951,92.5344
25/07/1951,89.0784
26/07/1951,85.6224
27/07/1951,82.1664
28/07/1951,78.7104
29/07/1951,75.2544
30/07/1951,100.656
31/07/1951,64.368
1/08/1951,48.4704
2/08/1951,55.4688
3/08/1951,101.088
4/08/1951,563.4144
5/08/1951,241.4016
6/08/1951,129.6
7/08/1951,115.2576
8/08/1951,108
9/08/1951,100.4832
10/08/1951,93.0528
11/08/1951,85.536
12/08/1951,78.1056
13/08/1951,73.44
14/08/1951,73.3536
15/08/1951,68.688
16/08/1951,56.5056
17/08/1951,48.9888
18/08/1951,48.9024
19/08/1951,113.5296
20/08/1951,193.968
21/08/1951,159.4944
22/08/1951,150.4224
23/08/1951,116.7264
24/08/1951,81.3024
25/08/1951,54.9504
26/08/1951,49.1616
27/08/1951,94.3488
28/08/1951,98.3232
29/08/1951,73.2672
30/08/1951,48.384
31/08/1951,62.7264
1/09/1951,66.6144
2/09/1951,42.336
3/09/1951,48.0384
4/09/1951,46.4832
5/09/1951,44.5824
6/09/1951,42.5952
7/09/1951,40.6944
8/09/1951,38.7072
9/09/1951,36.8064
10/09/1951,34.992
11/09/1951,33.6096
12/09/1951,32.3136
13/09/1951,31.0176
14/09/1951,29.7216
15/09/1951,28.3392
16/09/1951,27.0432
17/09/1951,25.7472
18/09/1951,25.056
19/09/1951,24.0192
20/09/1951,21.8592
21/09/1951,19.6992
22/09/1951,18.9216
23/09/1951,20.5632
24/09/1951,33.8688
25/09/1951,4222.8
26/09/1951,10963.4688
27/09/1951,2926.1952
28/09/1951,1169.6832
29/09/1951,583.5456
30/09/1951,351.5616
1/10/1951,248.2272
2/10/1951,204.4224
3/10/1951,259.4592
4/10/1951,2588.1984
5/10/1951,771.552
6/10/1951,471.9168
7/10/1951,570.4992
8/10/1951,319.5936
9/10/1951,228.0096
10/10/1951,171.072
11/10/1951,136.4256
12/10/1951,124.5888
13/10/1951,112.4064
14/10/1951,387.936
15/10/1951,428.8896
16/10/1951,186.8832
17/10/1951,133.8336
18/10/1951,107.9136
19/10/1951,93.4848
20/10/1951,86.6592
21/10/1951,79.8336
22/10/1951,73.008
23/10/1951,66.1824
24/10/1951,59.4432
25/10/1951,52.6176
26/10/1951,47.7792
27/10/1951,45.4464
28/10/1951,43.0272
29/10/1951,40.6944
30/10/1951,38.2752
31/10/1951,35.9424
1/11/1951,33.5232
2/11/1951,31.2768
3/11/1951,29.4624
4/11/1951,27.648
5/11/1951,25.8336
6/11/1951,24.0192
7/11/1951,22.2912
8/11/1951,20.4768
9/11/1951,19.2672
10/11/1951,18.576
11/11/1951,17.8848
12/11/1951,17.1936
13/11/1951,16.5888
14/11/1951,15.8976
15/11/1951,15.2064
16/11/1951,14.5152
17/11/1951,13.6512
18/11/1951,12.8736
19/11/1951,12.096
20/11/1951,11.232
21/11/1951,10.4544
22/11/1951,9.5904
23/11/1951,8.8128
24/11/1951,7.9488
25/11/1951,7.344
26/11/1951,7.344
27/11/1951,7.344
28/11/1951,7.344
29/11/1951,7.344
30/11/1951,7.344
1/12/1951,7.344
2/12/1951,7.344
3/12/1951,7.344
4/12/1951,7.344
5/12/1951,7.344
6/12/1951,7.344
7/12/1951,7.344
8/12/1951,7.344
9/12/1951,7.344
10/12/1951,7.344
11/12/1951,7.2576
12/12/1951,6.8256
13/12/1951,6.3072
14/12/1951,5.8752
15/12/1951,5.3568
16/12/1951,4.8384
17/12/1951,4.4064
18/12/1951,3.888
19/12/1951,3.6288
20/12/1951,3.6288
21/12/1951,3.6288
22/12/1951,3.6288
23/12/1951,3.6288
24/12/1951,3.6288
25/12/1951,3.6288
26/12/1951,3.6288
27/12/1951,3.6288
28/12/1951,3.6288
29/12/1951,3.6288
30/12/1951,3.6288
31/12/1951,3.6288
1/01/1952,3.6288
2/01/1952,3.6288
3/01/1952,3.6288
4/01/1952,3.6288
5/01/1952,3.6288
6/01/1952,3.6288
7/01/1952,3.6288
8/01/1952,5.0112
9/01/1952,7.344
10/01/1952,6.8256
11/01/1952,5.5296
12/01/1952,4.5792
13/01/1952,4.0608
14/01/1952,3.6288
15/01/1952,3.3696
16/01/1952,3.1968
17/01/1952,2.9376
18/01/1952,2.6784
19/01/1952,2.5056
20/01/1952,2.2464
21/01/1952,1.9872
22/01/1952,1.8144
23/01/1952,1.5552
24/01/1952,1.3824
25/01/1952,1.296
26/01/1952,1.2096
27/01/1952,1.1232
28/01/1952,1.0368
29/01/1952,0.864
30/01/1952,0.7776
31/01/1952,0.6912
1/02/1952,0.6912
2/02/1952,0.6048
3/02/1952,0.6048
4/02/1952,0.6048
5/02/1952,0.6048
6/02/1952,0.5184
7/02/1952,0.5184
8/02/1952,0.5184
9/02/1952,0.5184
10/02/1952,0.5184
11/02/1952,0.5184
12/02/1952,0.5184
13/02/1952,0.5184
14/02/1952,0.5184
15/02/1952,0.5184
16/02/1952,0.5184
17/02/1952,0.432
18/02/1952,0.432
19/02/1952,0.432
20/02/1952,0.3456
21/02/1952,0.3456
22/02/1952,0.3456
23/02/1952,0.3456
24/02/1952,0.2592
25/02/1952,0.2592
26/02/1952,7.6896
27/02/1952,19.44
28/02/1952,19.6128
29/02/1952,19.6128
1/03/1952,19.6128
2/03/1952,17.712
3/03/1952,14.6016
4/03/1952,13.0464
5/03/1952,10.4544
6/03/1952,10.4544
7/03/1952,9.2448
8/03/1952,7.344
9/03/1952,7.344
10/03/1952,6.8256
11/03/1952,6.048
12/03/1952,6.048
13/03/1952,5.5296
14/03/1952,4.752
15/03/1952,4.752
16/03/1952,4.752
17/03/1952,4.752
18/03/1952,4.752
19/03/1952,4.752
20/03/1952,4.752
21/03/1952,5.3568
22/03/1952,7.6032
23/03/1952,12.7008
24/03/1952,4012.5888
25/03/1952,1687.9104
26/03/1952,511.7472
27/03/1952,276.7392
28/03/1952,108.6048
29/03/1952,94.2624
30/03/1952,82.08
31/03/1952,69.8112
1/04/1952,57.6288
